"output","group","factor","mu","mu.star","sigma"
"Exit_Density_kg_m3","surface","t_recover_sec",-3.48717700641525e-09,3.48760143727607e-09,1.74309514435937e-08
"Exit_Density_kg_m3","surface","I_strength",6.80661846111347,6.81328888109905,6.17262028448454
"Exit_Density_kg_m3","surface","Delta_pH",-3.47800365931724,3.47800365931724,3.91622959583446
"Exit_Density_kg_m3","surface","contact_angle_deg",119.391607647053,215.139467078838,364.936555833886
"Exit_Density_kg_m3","additive","plasticizer_frac",-38.3106972895009,46.910776856456,37.6900491559405
"Exit_Density_kg_m3","additive","C_monomer",-2.27373675443232e-14,8.33703476625184e-14,1.91987815438787e-13
"Exit_Density_kg_m3","additive","C_binder",-61.034720363129,62.798260439237,37.3228310144297
"Exit_Density_kg_m3","additive","chi_parameter",0,0,0
"Exit_Density_kg_m3","additive","S_base",56.8088249127557,70.9416697119758,61.1366042766626
"Exit_Density_kg_m3","additive","S_ceiling",33.742119278602,37.7407233332478,23.8173441835564
"Gasfree_Density_kg_m3","process","rpm",1.51582450295488e-14,1.97057185384134e-13,2.99191401162792e-13
"Gasfree_Density_kg_m3","process","delta_rpm",-46.6487424096625,46.6487424096625,45.1664772919057
"Gasfree_Density_kg_m3","process","r_pool",60.4223349513225,60.4223349513225,68.0219036495327
"Gasfree_Density_kg_m3","process","flow_rate_lpm",1.51582450295488e-14,2.27373675443232e-13,3.18563661820778e-13
"Gasfree_Density_kg_m3","process","feed_solid_frac",-9.09494701772928e-14,1.81898940354586e-13,2.9516441538433e-13
"Gasfree_Density_kg_m3","process","feed_gas_frac",-7.5791225147744e-14,1.97057185384134e-13,2.67962446282031e-13
"Gasfree_Density_kg_m3","process","pop_frac",1.2126596023639e-13,2.72848410531878e-13,3.58175356136038e-13
"Gasfree_Density_kg_m3","process","T_process",-3.03164900590976e-14,2.72848410531878e-13,3.61501103959254e-13
"Gasfree_Density_kg_m3","process","P_feed",1.51582450295488e-14,7.5791225147744e-14,1.72275749933683e-13
"Gasfree_Density_kg_m3","process","gas_sat_frac",4.54747350886464e-14,1.06107715206842e-13,1.99327560015307e-13
"Gasfree_Density_kg_m3","process","D_b",-3.03164900590976e-14,2.12215430413683e-13,3.07865411917342e-13
"Gasfree_Density_kg_m3","surface","HLB_value",3.03164900590976e-14,2.12215430413683e-13,2.87773869126657e-13
"Gasfree_Density_kg_m3","surface","surf_dose_kg_m3",0,0,0
"Gasfree_Density_kg_m3","surface","t_recover_sec",-1.51582450295488e-14,4.54747350886464e-14,1.33085017610189e-13
"Gasfree_Density_kg_m3","surface","I_strength",5.07669422538769,5.07669422538769,1.99918852758763
"Gasfree_Density_kg_m3","surface","Delta_pH",1.51582450295488e-14,2.27373675443232e-13,3.18563661820778e-13
"Gasfree_Density_kg_m3","surface","contact_angle_deg",1.51582450295488e-14,7.5791225147744e-14,2.04074119177619e-13
"Gasfree_Density_kg_m3","additive","plasticizer_frac",-68.3909375960642,68.3909375960642,20.1032108555898
"Gasfree_Density_kg_m3","additive","C_monomer",-1.51582450295488e-14,7.5791225147744e-14,1.72275749933683e-13
"Gasfree_Density_kg_m3","additive","C_binder",-89.1803459678298,89.1803459678298,26.5336634874749
"Gasfree_Density_kg_m3","additive","chi_parameter",0,0,0
"Gasfree_Density_kg_m3","additive","S_base",99.9881543659312,99.9881543659312,34.0014086510491
"Gasfree_Density_kg_m3","additive","S_ceiling",59.076341545006,59.076341545006,24.5752181060456
"Product_Solids_MassFrac","process","rpm",-1.85037170770859e-17,6.29126380620922e-17,1.0343892305197e-16
"Product_Solids_MassFrac","process","delta_rpm",-0.063267379921342,0.063267379921342,0.0616280083547732
"Product_Solids_MassFrac","process","r_pool",0.0809247099644902,0.0809247099644902,0.0920470799792197
"Product_Solids_MassFrac","process","flow_rate_lpm",-1.48029736616688e-17,9.62193288008469e-17,1.29965837509951e-16
"Product_Solids_MassFrac","process","feed_solid_frac",1.85037170770859e-17,9.25185853854297e-17,1.38777878078145e-16
"Product_Solids_MassFrac","process","feed_gas_frac",-7.40148683083438e-18,5.9211894646675e-17,1.03162717156958e-16
"Product_Solids_MassFrac","process","pop_frac",-2.96059473233375e-17,7.40148683083438e-17,1.15555676109332e-16
"Product_Solids_MassFrac","process","T_process",2.96059473233375e-17,7.40148683083438e-17,1.21571908986842e-16
"Product_Solids_MassFrac","process","P_feed",-3.33066907387547e-17,3.33066907387547e-17,6.47630097698008e-17
"Product_Solids_MassFrac","process","gas_sat_frac",-7.40148683083438e-18,2.22044604925031e-17,5.92407996494446e-17
"Product_Solids_MassFrac","process","D_b",4.07081775695891e-17,1.07321559047098e-16,1.33752567306938e-16
"Product_Solids_MassFrac","surface","HLB_value",-7.03141248929266e-17,1.14723045877933e-16,1.36915003288059e-16
"Product_Solids_MassFrac","surface","surf_dose_kg_m3",0,0,0
"Product_Solids_MassFrac","surface","t_recover_sec",-3.70074341541719e-18,1.11022302462516e-17,4.2059509261153e-17
"Product_Solids_MassFrac","surface","I_strength",0.00680532257610546,0.00680532257610546,0.00275983464863835
"Product_Solids_MassFrac","surface","Delta_pH",2.59052039079203e-17,5.55111512312578e-17,9.82034412313152e-17
"Product_Solids_MassFrac","surface","contact_angle_deg",-1.48029736616688e-17,6.66133814775094e-17,1.05757552095263e-16
"Product_Solids_MassFrac","additive","plasticizer_frac",-0.0894814496783152,0.0894814496783152,0.0281097610827742
"Product_Solids_MassFrac","additive","C_monomer",1.11022302462516e-17,2.59052039079203e-17,6.71424060087196e-17
"Product_Solids_MassFrac","additive","C_binder",-0.1197525898332,0.1197525898332,0.0376754603718364
"Product_Solids_MassFrac","additive","chi_parameter",0,0,0
"Product_Solids_MassFrac","additive","S_base",0.135698551128619,0.135698551128619,0.0531801277376933
"Product_Solids_MassFrac","additive","S_ceiling",0.0773675637891644,0.0773675637891644,0.0280918354090341
"Serum_Viscosity_Pa_s","process","rpm",0,0,0
"Serum_Viscosity_Pa_s","process","delta_rpm",0,0,0
"Serum_Viscosity_Pa_s","process","r_pool",0,0,0
"Serum_Viscosity_Pa_s","process","flow_rate_lpm",0,0,0
"Serum_Viscosity_Pa_s","process","feed_solid_frac",0,0,0
"Serum_Viscosity_Pa_s","process","feed_gas_frac",0,0,0
